regimen,n,mediana_mase_ganador,mediana_mase_naive,tasa_victoria,n_pares_validos
estacional_con_tendencia,23,0.9502881745628498,0.9762072611913994,0.6521739130434783,23
estacional_plano,23,0.8265574181475062,0.9058916567813364,0.5652173913043478,23
no_estacional_con_tendencia,40,0.7031418112924616,0.7189937194624356,0.475,40
no_estacional_plano,64,0.836167299348219,0.8470528264308828,0.4375,64
