sku,n_obs,n_eval,perfil,incumbente_mase,incumbente_mape,incumbente_me,naive_mase,naive_mape,naive_me,herramienta_metodo,herramienta_mase,herramienta_mape,herramienta_me,mejora_vs_incumbente_pct,supera_incumbente,supera_naive
PRODUCTO-SINT-01,42,6,sin tendencia,0.6685097400288619,7.959692549074365,32.86166666666668,0.8995040141969951,10.95277610497416,11.539999999999964,ses,0.555602582634008,6.573076998463911,31.475031992818913,16.88938105673364,True,True
PRODUCTO-SINT-02,30,6,sin tendencia,0.7935965512436458,10.4421542547151,-4.384444444444512,0.8841483435815319,11.892710677635696,26.279999999999973,linear_regression,0.8032033850571821,10.76769855737685,-47.81891709866451,-1.210543795645464,False,True
PRODUCTO-SINT-03,30,6,sin tendencia,1.6891876977483267,16.896064918538293,286.8722222222222,1.3419875586005823,13.91544012416933,137.1233333333333,naive,1.3419875586005823,13.91544012416933,137.1233333333333,20.55426638558636,True,False
PRODUCTO-SINT-04,36,6,sin tendencia,1.1344675481360063,11.97651525412761,-109.03277777777782,0.9970753130335679,10.697130875414688,-29.73666666666668,naive,0.9970753130335679,10.697130875414688,-29.73666666666668,12.110724130291915,True,False
PRODUCTO-SINT-05,36,6,sin tendencia,0.337069081408152,104.8598113166684,-621.6449999999999,0.34295760335249736,101.69278170955349,-617.1116666666667,naive,0.34295760335249736,101.69278170955349,-617.1116666666667,-1.7469777767053736,False,False
PRODUCTO-SINT-06,36,6,sin tendencia,1.9188105725630777,17.20752251882093,95.35500000000025,2.1814575313099276,19.906036735537356,-39.32499999999997,ses,1.633377189012327,14.291714682743098,201.99134753772873,14.87553735799356,True,True
PRODUCTO-SINT-07,36,6,sin tendencia,0.4108716148119251,7.237210565535268,12.13333333333344,0.4879710003576189,8.698351024089947,19.596666666666653,naive,0.4879710003576189,8.698351024089947,19.596666666666653,-18.76483620826077,False,False
PRODUCTO-SINT-08,36,6,sin tendencia,1.3006131106581358,23.42106004689038,-726.045555555556,0.7682768293284961,13.460136650196228,-246.76666666666674,auto_arima,0.5327165594940115,10.142299197384572,135.55306356374945,59.041120289457446,True,True
PRODUCTO-SINT-09,36,6,sin tendencia,1.660919396827774,15.497326537896274,-74.39111111111116,1.0320219514933755,9.523648677264852,-24.831666666666667,naive,1.0320219514933755,9.523648677264852,-24.831666666666667,37.86441693290737,True,False
PRODUCTO-SINT-10,36,6,sin tendencia,0.9805437716344436,147.48293563061338,267.4327777777778,0.9692478390237902,135.45857593711528,265.8466666666667,ses,0.8458584193216133,158.51826611764264,102.92161195344075,13.735781737548207,True,True
PRODUCTO-SINT-11,36,6,sin tendencia,0.7617057892328353,7.3070052140976545,43.354444444444425,1.3352627591302269,12.854284957273219,79.71666666666663,naive,1.3352627591302269,12.854284957273219,79.71666666666663,-75.2990167601403,False,False
PRODUCTO-SINT-12,30,6,sin tendencia,0.828568874122526,17.808414155974265,-15.158888888888887,0.7254111632713095,14.677888531026055,0.36999999999999506,holt,0.741413441459981,13.916975611715943,82.80080380446962,10.518791543412085,True,False
PRODUCTO-SINT-13,42,6,sin tendencia+estacional,0.9556531939386569,15.203048976567516,930.3733333333334,0.5552160992393338,9.010289571755393,325.1666666666667,auto_sarima,0.13186927318292033,2.010747035943352,137.51699423421255,86.20113718875041,True,True
PRODUCTO-SINT-14,30,6,sin tendencia,1.4316739777534078,13.506898564253826,365.5350000000001,0.8099574390307591,7.725768017550521,179.105,naive,0.8099574390307591,7.725768017550521,179.105,43.4258461342051,True,False
PRODUCTO-SINT-15,36,6,sin tendencia,0.828908907709072,176.19418278410882,681.5394444444446,0.6180270169900075,157.66650845716657,16.896666666666686,linear_regression,0.7602601633994206,150.0104630007596,916.8986306114838,8.281820073496608,True,False
