unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,structural_filter
M1353,48,ok,estacional_con_tendencia,auto_sarima,1.5237823981771577,0.8174309313585874,0.7924137038953575,True
M206,48,ok,no_estacional_plano,linear_regression,0.8263565891472868,1.5573643410852713,1.0581528736300359,True
M1041,48,ok,no_estacional_plano,auto_arima,1.7578499609454221,5.62404281269992,1.6599132154780303,True
M516,48,ok,no_estacional_plano,mean,0.5575585072738773,0.5640417457305503,0.8682001317508936,True
M201,48,ok,estacional_con_tendencia,holt,1.3660714285714286,1.0580357142857144,1.0682067905159018,True
M1143,48,ok,no_estacional_plano,holt,1.0519502859685337,4.758616009288643,1.46409443731726,True
M914,48,ok,no_estacional_con_tendencia,auto_arima,0.6972584105595998,2.145666573220225,0.9562122988379552,True
M100,48,ok,estacional_con_tendencia,auto_theta,1.0315265486725664,1.095132743362832,0.8075938670484153,True
M635,48,ok,no_estacional_plano,auto_arima,0.6668343393695506,2.9010731052984577,0.5277943379799873,True
M708,48,ok,estacional_plano,auto_ets,0.8564973971122679,0.7435418917591593,0.6319849599078039,True
M750,48,ok,estacional_plano,auto_sarima,0.8297469915846605,0.36347687837504455,0.23201347691097965,True
M1414,48,ok,no_estacional_con_tendencia,holt,1.1507840168770607,11.43391733351546,0.9743168945030236,True
M899,48,ok,no_estacional_con_tendencia,naive,1.2037867443182078,7.922056530337263,1.2037867443182078,True
M353,48,ok,no_estacional_plano,mean,0.5556516724336793,0.8275663206459055,0.5802642081426191,True
M223,48,ok,no_estacional_plano,linear_regression,0.4146877748460862,0.7031662269129287,0.36058648543647864,True
M362,48,ok,no_estacional_plano,holt,0.7220790378006872,1.0214776632302405,0.5633724832892839,True
M905,48,ok,no_estacional_plano,holt,0.38178801819996233,5.242852518837045,0.6372379475670019,True
M474,48,ok,no_estacional_plano,auto_arima,0.3472806011972997,0.561393453063304,0.38992458330284924,True
M460,48,ok,no_estacional_con_tendencia,naive,0.6584201388888888,0.9253472222222223,0.6584201388888888,True
M662,48,ok,estacional_con_tendencia,seasonal_naive,0.8502710027100271,1.0840108401084012,1.0840108401084012,True
M792,48,ok,no_estacional_plano,moving_average,1.679089583173409,2.2681609989508966,1.1457954845918306,True
M1177,48,ok,estacional_con_tendencia,seasonal_naive,0.9302752293577982,0.6899082568807339,0.6899082568807339,True
M604,48,ok,no_estacional_con_tendencia,auto_arima,0.780130597069822,0.8596744206316778,0.5098637036763151,True
M1303,48,ok,no_estacional_plano,ses,1.2424242424242424,7.0995670995671,1.2253127735117557,True
M695,48,ok,estacional_con_tendencia,seasonal_naive,1.148095043015158,0.7394510446538304,0.7394510446538304,True
M745,48,ok,estacional_plano,auto_ets,1.8047405806053118,1.0291846819024089,0.8865113983162507,True
M932,48,ok,estacional_plano,holt_winters,2.9427613459465936,2.461860854987427,0.8121847799082269,True
M126,48,ok,no_estacional_plano,mean,0.4628884417616812,0.5087189805499664,0.5449443754041456,True
M1060,48,ok,no_estacional_con_tendencia,holt,0.5090716900164078,8.313975135680927,0.6396746199326321,True
M1366,48,ok,no_estacional_plano,ses,0.8271929824561403,3.057017543859649,0.8343392562942524,True
M547,48,ok,no_estacional_plano,naive,1.1750851305334846,3.067631479379493,1.1750851305334846,True
M267,48,ok,no_estacional_con_tendencia,auto_arima,1.386892177589852,1.069062720225511,0.8364473612886779,True
M623,48,ok,estacional_con_tendencia,holt_winters,1.206070287539936,0.830670926517572,0.7191288888101359,True
M764,48,ok,estacional_plano,auto_theta,2.142857142857143,1.7293233082706767,0.9717612520600122,True
M150,48,ok,no_estacional_plano,holt,0.22456964006259783,0.8341158059467918,0.19862249475865063,True
M380,48,ok,no_estacional_plano,auto_arima,1.5031288260100666,0.9853534666485285,0.7817296751901024,True
M709,48,ok,no_estacional_plano,linear_regression,0.7997362210190198,1.0131889490490074,0.6030226767664001,True
M450,48,ok,no_estacional_plano,auto_arima,0.6344912046314851,0.46559786239144957,0.5783883880352333,True
M802,48,ok,estacional_con_tendencia,holt_winters,1.8480814408770554,0.5716523101018011,0.523698843442456,True
M728,48,ok,no_estacional_plano,auto_arima,0.9962901131515489,1.1521981079577073,1.2964545854082496,True
