unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,max_len,structural_filter
M1353,36,ok,estacional_plano,auto_arima,0.8439403829416884,0.45273063533507396,0.8821974552519528,36,True
M206,36,ok,no_estacional_plano,mean,1.0258503401360544,1.9333333333333333,1.22395180321116,36,True
M1041,36,ok,no_estacional_plano,holt,1.780659558206031,5.697019548134787,2.2816499077810493,36,True
M516,36,ok,no_estacional_plano,mean,0.6194734227521114,0.6266766020864382,1.0077201247964038,36,True
M201,36,ok,estacional_con_tendencia,ses,1.4849397590361446,1.1501004016064258,1.0854113670564793,36,True
M1143,36,ok,no_estacional_con_tendencia,auto_arima,1.2938729227676793,5.852980398782397,1.5711884658297475,36,True
M914,36,ok,no_estacional_con_tendencia,auto_arima,0.6717123389905395,2.0670538938854106,1.0079252477276561,36,True
M100,36,ok,no_estacional_plano,linear_regression,0.9264302843439534,0.9835560123329907,0.8628065935984984,36,True
M635,36,ok,no_estacional_con_tendencia,naive,0.5773809523809523,2.511904761904762,0.5773809523809523,36,True
M708,36,ok,estacional_con_tendencia,holt,0.8574237954768927,0.744346116027532,0.7900294894357225,36,True
M750,36,ok,estacional_plano,auto_arima,0.6031330516335154,0.2642069463052664,0.5817540000962274,36,True
M1414,36,ok,no_estacional_con_tendencia,holt,1.1881051042369344,11.804730814943305,0.9770784499443227,36,True
M899,36,ok,no_estacional_con_tendencia,naive,1.3467531920330336,8.862911117816397,1.3467531920330336,36,True
M353,36,ok,no_estacional_plano,mean,0.5162878787878787,0.768939393939394,0.501284103942497,36,True
M223,36,ok,no_estacional_plano,ses,0.4179197994987469,0.7086466165413534,0.3841009191671717,36,True
M362,36,ok,no_estacional_plano,holt,0.7958500669344043,1.1258366800535475,0.684706443022588,36,True
M905,36,ok,no_estacional_con_tendencia,auto_arima,0.40194731942791934,5.519687406739767,0.4057617841398068,36,True
M474,36,ok,no_estacional_plano,mean,0.6613511659807956,1.0691015089163238,0.9321427677905133,36,True
M460,36,ok,no_estacional_plano,naive,0.7658815132048536,1.0763740185581727,0.7658815132048536,36,True
M662,36,ok,estacional_con_tendencia,auto_arima,0.7660492527888866,0.976636497579457,0.682348613012136,36,True
M792,36,ok,no_estacional_con_tendencia,ses,1.5788856005714869,2.132802666938803,1.2823025471531087,36,True
M1177,36,ok,no_estacional_plano,auto_arima,0.7943273905996758,0.589086980010805,0.8215137649561636,36,True
M604,36,ok,no_estacional_plano,mean,0.7417974530710646,0.8174327453507721,0.6436393262062768,36,True
M1303,36,ok,no_estacional_plano,naive,1.6691967109424415,9.538266919671095,1.6691967109424415,36,True
M695,36,ok,estacional_plano,mean,0.41913565921456386,0.269951780511075,0.5663607772159256,36,True
M745,36,ok,estacional_plano,auto_arima,0.7880801246279762,0.4494163876488095,0.7760066258366946,36,True
M932,36,ok,estacional_con_tendencia,ses,1.342577417082057,1.123175955962971,0.9931183897120734,36,True
M126,36,ok,no_estacional_plano,auto_arima,0.4640367553865653,0.5099809885931559,0.5335117528528717,36,True
M1060,36,ok,no_estacional_con_tendencia,holt,0.656852587348184,10.727479422091752,0.8406368025434596,36,True
M1366,36,ok,no_estacional_plano,ses,0.9112021857923497,3.3674863387978147,0.9190742307439687,36,True
M547,36,ok,no_estacional_plano,naive,1.072108345534407,2.7988042947779403,1.072108345534407,36,True
M267,36,ok,no_estacional_plano,ses,1.4668071654373023,1.130663856691254,0.8898043800771589,36,True
M623,36,ok,estacional_plano,auto_arima,1.2103372028745163,0.8336097291321172,0.9623140970075414,36,True
M764,36,ok,estacional_plano,moving_average,1.483842010771993,1.1974865350089767,1.142529423498903,36,True
M150,36,ok,no_estacional_plano,ses,0.26798679867986797,0.9953795379537953,0.2865150885731289,36,True
M380,36,ok,estacional_plano,auto_arima,1.5166893071996894,0.9942428358884793,0.9567846401917686,36,True
M709,36,ok,no_estacional_con_tendencia,mean,0.7694995278564682,0.9748819641170916,0.9279500501002629,36,True
M450,36,ok,no_estacional_plano,auto_arima,0.5179902338730403,0.3801079414032382,0.4615084399103134,36,True
M802,36,ok,estacional_plano,ses,1.176551487020801,0.3639332989513495,1.166354060740308,36,True
M728,36,ok,no_estacional_plano,linear_regression,1.042249657064472,1.205349794238683,1.231921851664689,36,True
