n,regimen,seed,estado,outer_block,n_eval,herramienta_metodo,naive_mase,naive_mape,naive_mad,naive_mse,naive_me,seasonal_naive_mase,seasonal_naive_mape,seasonal_naive_mad,seasonal_naive_mse,seasonal_naive_me,herramienta_mase,herramienta_mape,herramienta_mad,herramienta_mse,herramienta_me,prophet_estado,prophet_mase,prophet_mape,prophet_mad,prophet_mse,prophet_me,lightgbm_estado,lightgbm_mase,lightgbm_mape,lightgbm_mad,lightgbm_mse,lightgbm_me,rep
24,plano,20288267,ok,2,2,auto_arima,0.33300797096816986,2.647969616812187,96.74499999999989,17009.721250000002,-87.46500000000015,1.3204147263759878,10.482557084976062,383.605,167261.4540500001,-383.605,0.9094705805295498,7.223894035348496,264.2180938117583,69923.87129601887,-264.2180938117583,ok,1.3304432122721837,10.56824497772596,386.5184613961544,150435.91404741857,-386.5184613961544,ok,0.388365589159811,3.0881406479819398,112.82741615472378,23049.86686624132,-101.58661836132796,0
24,tendencia,20288166,ok,2,2,linear_regression,2.077368787671194,15.781790139684333,171.83499999999998,32531.951449999993,54.815,1.621299084089875,13.027880184452851,134.1099999999999,27336.382099999984,-96.70000000000005,1.190803076672362,8.87762283874466,98.5003952569171,13871.092138544594,98.5003952569171,ok,1.190461133900532,8.874454800729993,98.47211056498077,13878.816247124025,98.47211056498077,ok,1.3047405073430807,9.687111043695888,107.9250282424021,17822.503493689353,107.9250282424021,0
24,estacional,20291142,ok,2,2,auto_arima,0.9152371587261204,12.411837742002621,152.46500000000003,34139.71685000003,152.46500000000003,0.328780632823465,4.419526861964525,54.76999999999998,4719.513800000001,41.47000000000003,0.30761183972092615,4.155626179928845,51.24359156082471,3973.1002054360947,36.70414866719386,ok,0.948378196599772,15.32811988916715,157.98580768490558,45168.554445140144,-142.15849962379377,ok,0.8766046837433183,11.571252251180184,146.02939995678162,38775.746634158844,132.10284244641048,0
24,tendencia_estacional,20288482,ok,2,2,auto_arima,1.0530821561329686,12.293456704049822,433.5799999999997,318096.10639999976,360.70000000000005,1.0839887257090386,12.715707758539072,446.30500000000006,226447.81405,446.30500000000006,1.1203246056805214,13.096327286414745,461.2653815298588,317539.8877867437,461.2653815298588,ok,0.2118441579773669,2.5017148783733103,87.22148550414613,8169.261411518783,-87.22148550414613,ok,0.7981724059718189,9.317595082004873,328.627343807698,182919.99046895956,328.627343807698,0
24,corta_erratica,20288864,ok,2,2,auto_arima,0.1397557992240419,37.26845247257578,265.89,70699.83299999998,1.5299999999999727,0.12032643701291433,30.506922833114913,228.92499999999995,56425.58164999998,63.39499999999998,0.6554015093839279,179.14246797236615,1246.9229062239456,1581841.0465866895,-1246.9229062239456,ok,0.29171348196590896,83.74909920069078,554.9944843116921,361314.4328877865,-554.9944843116921,ok,0.6673862752842742,188.31567627592534,1269.7243171345197,1771444.18954642,-399.05431713451964,0
36,plano,20300267,ok,6,6,mean,1.1147011358059353,8.633181347025793,230.00166666666664,71061.41228333332,-28.94833333333334,1.2711458832953695,9.978872813821445,262.2816666666667,77153.47554999999,43.40833333333338,0.611240634946417,4.863036974001661,126.12023102535257,24523.627580972545,-65.03776349288508,ok,1.6304496509338948,12.878814372101962,336.4185476134364,140836.97056226668,214.81686129010527,ok,0.45454683532255175,3.4433973728211615,93.78884289613468,16197.351664511907,88.73022354567433,0
36,tendencia,20300166,ok,6,6,linear_regression,1.378798602009611,5.613405757354207,72.55333333333333,6655.836933333332,0.646666666666647,2.9152348186981203,11.679378693920599,153.4016666666666,25566.31574999998,153.4016666666666,0.7549016169139706,3.1221187814464497,39.72344370381791,2415.387113341684,-27.41317488661362,ok,1.5551863287573418,6.389047479352971,81.83497716150703,9614.449797444835,-49.918481280501545,ok,1.1342113948808918,4.5185445728746085,59.68298581338763,4530.300180450582,31.405174838420255,0
36,estacional,20303142,ok,6,6,auto_arima,0.9784030762129621,14.025849152545058,251.92833333333337,101425.46104999998,-177.41833333333338,0.7492479321761822,11.304315667822344,192.92333333333332,47701.44773333334,-74.12666666666662,0.7467070054523708,11.601085952399764,192.26907186358235,55993.90598899929,-145.76645354823359,ok,1.1677560321083356,16.907905991846807,300.68469535858765,161688.25667900054,-65.43999459629826,ok,0.9822856463236842,13.737457998393317,252.92805363350865,76328.21706558147,-124.13069214949583,0
36,tendencia_estacional,20300482,ok,6,6,auto_arima,0.7721698586982747,9.049583426746432,189.10333333333335,51543.75060000002,-118.63,0.5707667916069428,7.173628145298844,139.7800000000001,27473.389200000038,-104.93333333333344,0.3656470973098248,4.551918483834167,89.54646979035219,10297.105618960639,-15.501424832781026,ok,0.7631887282245934,9.560789811092194,186.90386686809498,71229.61391449229,-101.30472372378124,ok,0.6193513799274009,7.774706477832866,151.67829866645502,40756.28735733483,-107.09268897441484,0
36,corta_erratica,20300864,ok,6,6,naive,1.2314075290857889,237.1055656335046,7139.188333333334,71059891.63331667,-90.94833333333315,0.7443922883530215,39.88148875939354,4315.676666666667,44318520.17403334,3282.763333333334,1.2314075290857889,237.1055656335046,7139.188333333334,71059891.63331667,-90.94833333333315,ok,0.7554549789201626,68.27981539950015,4379.813542206843,42990460.59520934,3613.7373562566413,ok,0.8861498571276595,93.04464341445829,5137.528049944256,40276130.2503612,3780.9762449152186,0
