unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador
M1353,48,ok,estacional_con_tendencia,auto_sarima,1.5237823981771577,0.8174309313585874,0.7924137038953575
M206,48,ok,no_estacional_plano,linear_regression,0.8263565891472868,1.5573643410852713,1.0581528736300359
M1041,48,ok,no_estacional_plano,auto_arima,1.7578499609454221,5.62404281269992,1.6599132154780303
M516,48,ok,no_estacional_plano,mean,0.5575585072738773,0.5640417457305503,0.8682001317508936
M201,48,ok,estacional_con_tendencia,holt,1.3660714285714286,1.0580357142857144,1.0682067905159018
M1143,48,ok,no_estacional_plano,holt,1.0519502859685337,4.758616009288643,1.46409443731726
M914,48,ok,no_estacional_con_tendencia,auto_arima,0.6972584105595998,2.145666573220225,0.9562122988379552
M100,48,ok,estacional_con_tendencia,auto_theta,1.0315265486725664,1.095132743362832,0.8075938670484153
M635,48,ok,no_estacional_plano,auto_arima,0.6668343393695506,2.9010731052984577,0.5277943379799873
M708,48,ok,estacional_plano,auto_ets,0.8564973971122679,0.7435418917591593,0.6319849599078039
M750,48,ok,estacional_plano,auto_sarima,0.8297469915846605,0.36347687837504455,0.23201347691097965
M1414,48,ok,no_estacional_con_tendencia,holt,1.1507840168770607,11.43391733351546,0.9743168945030236
M899,48,ok,no_estacional_con_tendencia,naive,,7.922056530337263,1.2037867443182078
M353,48,ok,no_estacional_plano,mean,0.5556516724336793,0.8275663206459055,0.5802642081426191
M223,48,ok,no_estacional_plano,linear_regression,0.4146877748460862,0.7031662269129287,0.36058648543647864
M362,48,ok,no_estacional_plano,holt,0.7220790378006872,1.0214776632302405,0.5633724832892839
M905,48,ok,no_estacional_plano,holt,0.38178801819996233,5.242852518837045,0.6372379475670019
M474,48,ok,no_estacional_plano,auto_arima,0.3472806011972997,0.561393453063304,0.38992458330284924
M460,48,ok,no_estacional_con_tendencia,naive,,0.9253472222222223,0.6584201388888888
M662,48,ok,estacional_con_tendencia,seasonal_naive,0.8502710027100271,,1.0840108401084012
M792,48,ok,no_estacional_plano,moving_average,1.679089583173409,2.2681609989508966,1.1457954845918306
M1177,48,ok,estacional_con_tendencia,seasonal_naive,0.9302752293577982,,0.6899082568807339
M604,48,ok,no_estacional_con_tendencia,auto_arima,0.780130597069822,0.8596744206316778,0.5098637036763151
M1303,48,ok,no_estacional_plano,ses,1.2424242424242424,7.0995670995671,1.2253127735117557
M695,48,ok,estacional_con_tendencia,seasonal_naive,1.148095043015158,,0.7394510446538304
M745,48,ok,estacional_plano,auto_ets,1.8047405806053118,1.0291846819024089,0.8865113983162507
M932,48,ok,estacional_plano,holt_winters,2.9427613459465936,2.461860854987427,0.8121847799082269
M126,48,ok,no_estacional_plano,mean,0.4628884417616812,0.5087189805499664,0.5449443754041456
M1060,48,ok,no_estacional_con_tendencia,holt,0.5090716900164078,8.313975135680927,0.6396746199326321
M1366,48,ok,no_estacional_plano,ses,0.8271929824561403,3.057017543859649,0.8343392562942524
M547,48,ok,no_estacional_plano,naive,,3.067631479379493,1.1750851305334846
M267,48,ok,no_estacional_con_tendencia,auto_arima,1.386892177589852,1.069062720225511,0.8364473612886779
M623,48,ok,estacional_con_tendencia,holt_winters,1.206070287539936,0.830670926517572,0.7191288888101359
M764,48,ok,estacional_plano,auto_theta,2.142857142857143,1.7293233082706767,0.9717612520600122
M150,48,ok,no_estacional_plano,holt,0.22456964006259783,0.8341158059467918,0.19862249475865063
M380,48,ok,no_estacional_plano,auto_arima,1.5031288260100666,0.9853534666485285,0.7817296751901024
M709,48,ok,no_estacional_plano,linear_regression,0.7997362210190198,1.0131889490490074,0.6030226767664001
M450,48,ok,no_estacional_plano,auto_arima,0.6344912046314851,0.46559786239144957,0.5783883880352333
M802,48,ok,estacional_con_tendencia,holt_winters,1.8480814408770554,0.5716523101018011,0.523698843442456
M728,48,ok,no_estacional_plano,auto_arima,0.9962901131515489,1.1521981079577073,1.2964545854082496
M607,48,ok,no_estacional_plano,linear_regression,0.6200378071833648,2.1249212350346567,1.6704493494500163
M279,48,ok,estacional_con_tendencia,holt_winters,0.9893992932862191,1.1071849234393403,0.6050691536131448
M1121,48,ok,no_estacional_con_tendencia,naive,,0.6306738528711379,0.08928040946505321
M428,48,ok,estacional_plano,naive,,0.8976881455976391,0.8952287260206592
M1035,48,ok,no_estacional_con_tendencia,ses,0.7022015095430243,1.0403702715621213,0.6980605158072227
M270,48,ok,no_estacional_con_tendencia,linear_regression,0.8291111111111111,1.2937777777777777,1.1844013392087627
M1073,48,ok,no_estacional_plano,naive,,3.875022269730982,1.1431498307500445
M587,48,ok,no_estacional_plano,holt,0.9695603156708005,0.6200676437429538,1.0148047573747438
M391,48,ok,estacional_plano,auto_arima,0.9401860166773572,0.9160786829163994,0.91128928010874
M225,48,ok,no_estacional_con_tendencia,ses,0.7017396184062851,0.6212121212121212,0.5586289086848841
M401,48,ok,estacional_plano,auto_arima,0.44826503375726173,0.5534620819594913,0.711175835236104
M1273,48,ok,no_estacional_plano,ses,0.7125668449197862,2.9648760330578514,0.7178952549047092
M891,48,ok,no_estacional_plano,naive,,4.029088050314465,1.1281446540880502
M1323,48,ok,no_estacional_con_tendencia,auto_theta,0.8158863404470101,0.9530769063698248,0.4986402024681029
M434,48,ok,no_estacional_plano,mean,0.7844628861226373,0.7372060857538036,0.7495147870835112
M142,48,ok,no_estacional_con_tendencia,holt,0.6972789115646258,1.1993197278911565,0.8006889267677798
